Location,Area_sqft,BHK,Bathrooms,Furnishing,Property_Type,Facing,City_Zone,Parking_Type,Transaction_Type,Property_Age_Years,Floor,Distance_from_City_Center_km,Price
Delhi,1193,3,4,Unfurnished,Apartment,West,Outskirts,None,New,22,7,13.37,16549327.0
Mumbai,3503,4,1,Unfurnished,Apartment,East,Central,None,New,1,5,13.22,56942646.0
Chennai,1386,3,2,Unfurnished,Independent House,South,Central,Covered,New,15,19,10.38,15226153.0
Pune,1357,5,1,Unfurnished,Villa,East,Outskirts,Open,New,8,13,19.4,15319719.0
Chennai,3995,4,4,Fully Furnished,Villa,East,Central,None,Resale,10,23,2.18,42942738.0
Kolkata,1254,1,2,Unfurnished,Villa,East,Suburb,Open,Resale,30,27,30.79,9282585.0
Mumbai,1969,1,3,Fully Furnished,Villa,East,Central,Covered,New,10,19,29.55,32669508.0
Chennai,2656,3,4,Semi-Furnished,Independent House,South,Central,Covered,New,7,11,5.02,29610859.0
Bangalore,4309,1,3,Unfurnished,Independent House,East,Suburb,Open,Resale,1,6,2.58,56741468.0
Kolkata,2622,4,4,Fully Furnished,Independent House,North,Suburb,Covered,Resale,9,16,18.13,24465443.0
Chennai,637,2,3,Fully Furnished,Independent House,North,Suburb,Open,New,3,26,23.53,7287226.0
Mumbai,3688,2,3,Fully Furnished,Independent House,North,Suburb,Open,New,26,23,28.91,59080263.0
Chennai,2132,1,1,Unfurnished,Villa,South,Suburb,Covered,Resale,12,4,10.53,20978678.0
Hyderabad,3461,5,1,Unfurnished,Villa,East,Outskirts,Covered,New,3,29,27.02,32033190.0
Delhi,1214,4,2,Unfurnished,Villa,East,Outskirts,None,New,29,23,19.17,16397002.0
Bangalore,1586,5,1,Fully Furnished,Villa,West,Outskirts,Open,New,17,2,6.61,21498845.0
Hyderabad,2625,3,1,Fully Furnished,Villa,West,Suburb,None,Resale,14,22,4.11,24717409.0
Hyderabad,1384,1,2,Semi-Furnished,Villa,North,Central,None,Resale,17,8,8.44,13586850.0
Mumbai,1197,3,1,Fully Furnished,Apartment,East,Suburb,Open,New,28,23,32.88,18394130.0
Delhi,943,5,4,Fully Furnished,Villa,East,Suburb,None,Resale,22,16,8.75,14987125.0
Delhi,919,4,3,Semi-Furnished,Apartment,South,Central,Open,Resale,1,28,3.28,15217744.0
Pune,2946,5,3,Unfurnished,Villa,North,Central,Covered,New,18,16,31.84,32018644.0
Kolkata,1854,2,1,Fully Furnished,Apartment,North,Outskirts,Open,Resale,12,17,18.75,15410408.0
Bangalore,1458,5,1,Semi-Furnished,Villa,North,Suburb,Open,Resale,23,9,12.2,19092783.0
Kolkata,2636,5,2,Fully Furnished,Apartment,South,Outskirts,Covered,Resale,19,19,5.04,22788998.0
Mumbai,1512,5,1,Semi-Furnished,Apartment,West,Outskirts,None,Resale,11,1,7.09,25032663.0
Bangalore,3806,5,4,Unfurnished,Independent House,East,Suburb,Covered,New,21,12,10.26,50309485.0
Pune,1346,4,3,Fully Furnished,Independent House,West,Suburb,Covered,Resale,34,25,25.98,14393971.0
Chennai,4430,1,2,Semi-Furnished,Independent House,East,Suburb,Open,Resale,2,28,25.58,44712860.0
Hyderabad,535,4,2,Unfurnished,Independent House,West,Central,None,Resale,3,21,26.92,6054780.0
Bangalore,2993,3,2,Semi-Furnished,Apartment,North,Suburb,Open,Resale,29,3,34.44,37860432.0
Kolkata,1192,2,1,Semi-Furnished,Independent House,North,Central,None,New,33,8,2.57,9736704.0
Hyderabad,1536,1,1,Fully Furnished,Apartment,East,Outskirts,None,New,11,9,34.69,12800326.0
Mumbai,1762,2,1,Unfurnished,Villa,North,Suburb,Open,New,0,10,14.9,29148894.0
Kolkata,954,2,2,Fully Furnished,Villa,North,Central,Covered,Resale,15,18,31.12,8225238.0
Chennai,2972,1,2,Unfurnished,Apartment,East,Central,Open,Resale,5,25,14.56,30410992.0
Mumbai,3803,1,3,Fully Furnished,Independent House,West,Outskirts,None,New,12,2,25.22,60430469.0
Chennai,2654,3,3,Unfurnished,Villa,East,Outskirts,None,New,21,2,14.58,26274615.0
Chennai,1766,4,1,Semi-Furnished,Villa,North,Central,None,Resale,31,25,17.79,18175940.0
Hyderabad,1348,1,1,Unfurnished,Independent House,East,Suburb,None,New,11,19,16.79,11479064.0
Mumbai,503,3,3,Semi-Furnished,Apartment,South,Outskirts,Open,Resale,33,5,5.1,6932746.0
Mumbai,1446,5,4,Semi-Furnished,Apartment,East,Suburb,Open,Resale,27,1,29.06,22514001.0
Bangalore,4426,1,3,Fully Furnished,Independent House,West,Central,Covered,Resale,8,15,16.46,58370058.0
Kolkata,3014,4,1,Unfurnished,Apartment,South,Suburb,Open,New,28,14,21.3,24809169.0
Mumbai,3731,5,1,Fully Furnished,Apartment,West,Outskirts,None,Resale,24,19,4.94,59956687.0
Bangalore,1363,5,1,Unfurnished,Villa,South,Outskirts,Open,New,24,25,3.46,18569410.0
Delhi,3671,5,1,Unfurnished,Independent House,North,Suburb,Covered,Resale,19,12,14.68,51270310.0
Delhi,1237,5,3,Fully Furnished,Independent House,South,Central,Covered,Resale,2,25,19.1,20375080.0
Delhi,2858,2,1,Unfurnished,Villa,West,Outskirts,Open,New,7,27,3.77,40880414.0
Pune,1281,4,1,Fully Furnished,Villa,East,Suburb,None,New,6,12,15.8,15517855.0
Mumbai,3588,3,3,Semi-Furnished,Independent House,North,Outskirts,Open,Resale,13,9,9.03,57961737.0
Pune,2602,1,4,Semi-Furnished,Apartment,East,Suburb,None,New,6,10,25.87,27961741.0
Kolkata,3734,3,3,Unfurnished,Apartment,West,Outskirts,None,Resale,8,12,24.2,31257391.0
Mumbai,2598,2,1,Fully Furnished,Independent House,West,Central,Open,New,34,15,28.05,40614726.0
Bangalore,611,5,1,Unfurnished,Independent House,South,Suburb,Open,New,14,24,34.87,8268098.0
Pune,1615,1,2,Semi-Furnished,Villa,North,Suburb,None,Resale,11,26,24.65,16846805.0
Pune,1280,4,1,Unfurnished,Villa,South,Central,Open,New,11,21,16.36,14416217.0
Kolkata,1154,1,4,Semi-Furnished,Apartment,North,Suburb,Covered,Resale,26,0,22.34,9568511.0
Pune,1100,1,1,Semi-Furnished,Villa,North,Central,None,Resale,3,8,4.65,13023139.0
Chennai,2619,3,3,Semi-Furnished,Villa,South,Suburb,None,New,3,0,1.45,27918067.0
Bangalore,770,5,1,Fully Furnished,Villa,South,Central,None,New,26,28,6.76,11680113.0
Delhi,2132,4,1,Fully Furnished,Villa,North,Central,Covered,New,17,27,12.19,31380881.0
Bangalore,1201,1,2,Semi-Furnished,Independent House,North,Suburb,Open,Resale,8,28,24.73,15232786.0
Chennai,1389,2,1,Semi-Furnished,Independent House,East,Central,Open,Resale,27,9,13.89,13680525.0
Kolkata,815,2,1,Semi-Furnished,Villa,East,Suburb,None,New,24,9,20.7,7030845.0
Kolkata,3365,5,3,Semi-Furnished,Villa,West,Central,Open,New,18,13,3.61,31366448.0
Mumbai,3737,1,4,Fully Furnished,Apartment,East,Central,None,Resale,13,27,10.44,60109062.0
Bangalore,4012,5,2,Fully Furnished,Villa,North,Suburb,Open,Resale,14,18,30.42,52811571.0
Kolkata,2020,1,4,Fully Furnished,Villa,West,Suburb,Covered,New,4,3,3.84,19288415.0
Pune,1935,4,4,Fully Furnished,Apartment,West,Suburb,Covered,New,15,2,16.13,21207456.0
Kolkata,3192,2,1,Unfurnished,Villa,South,Central,Open,New,22,19,21.03,27246854.0
Kolkata,972,3,2,Unfurnished,Villa,South,Central,None,Resale,32,24,8.62,8350636.0
Kolkata,4055,5,1,Fully Furnished,Independent House,South,Suburb,None,Resale,4,17,32.5,34783676.0
Kolkata,692,4,1,Unfurnished,Villa,South,Suburb,Covered,New,6,24,21.0,7742422.0
Delhi,479,2,3,Semi-Furnished,Apartment,East,Suburb,None,Resale,8,26,13.64,6462273.0
Delhi,2262,4,1,Unfurnished,Independent House,South,Central,Covered,New,29,1,2.07,31990517.0
Mumbai,1018,3,2,Fully Furnished,Independent House,West,Suburb,None,Resale,4,14,23.48,16756395.0
Kolkata,1359,1,2,Fully Furnished,Independent House,North,Suburb,Covered,New,3,19,11.55,13006990.0
Bangalore,3678,1,1,Semi-Furnished,Apartment,North,Central,None,New,2,4,17.98,48307588.0
Chennai,4135,4,2,Fully Furnished,Apartment,West,Central,Open,Resale,24,19,29.52,40950066.0
Mumbai,2613,4,4,Fully Furnished,Independent House,North,Central,Open,New,8,26,22.63,43421025.0
Bangalore,3974,5,4,Fully Furnished,Apartment,South,Central,Open,Resale,23,7,16.77,52593200.0
Kolkata,4396,4,4,Fully Furnished,Villa,West,Outskirts,Covered,New,1,13,15.6,39381411.0
Hyderabad,2877,1,3,Fully Furnished,Villa,North,Suburb,None,New,7,14,5.72,27958973.0
Kolkata,3651,4,4,Fully Furnished,Apartment,South,Suburb,None,Resale,29,0,6.39,31424913.0
Delhi,2568,2,4,Unfurnished,Independent House,West,Central,Covered,New,28,16,16.16,36914847.0
Chennai,3645,2,2,Fully Furnished,Independent House,East,Outskirts,Open,New,23,22,5.95,36501504.0
Pune,2778,1,2,Semi-Furnished,Villa,East,Central,Open,New,1,14,11.4,31481453.0
Chennai,2122,4,4,Unfurnished,Villa,North,Outskirts,Covered,New,9,15,33.08,22704252.0
Pune,1561,4,1,Fully Furnished,Independent House,West,Outskirts,None,New,34,9,5.45,16825073.0
Chennai,2289,4,2,Unfurnished,Villa,East,Outskirts,None,New,14,16,6.4,23312824.0
Delhi,2440,2,3,Fully Furnished,Independent House,North,Suburb,Covered,Resale,1,21,23.93,35551094.0
Pune,4371,1,2,Fully Furnished,Villa,South,Outskirts,Open,New,28,21,8.97,45790481.0
Bangalore,3801,5,3,Unfurnished,Independent House,South,Central,None,New,15,26,29.96,50739838.0
Pune,3709,2,4,Unfurnished,Villa,South,Outskirts,Open,Resale,18,10,17.29,38898931.0
Mumbai,1499,1,4,Semi-Furnished,Villa,East,Suburb,None,New,33,9,26.66,22742115.0
Bangalore,4418,1,3,Unfurnished,Apartment,West,Central,None,New,26,10,8.69,57848162.0
Mumbai,2088,5,3,Fully Furnished,Apartment,South,Outskirts,Covered,Resale,18,6,3.62,34701536.0
Kolkata,1244,3,3,Fully Furnished,Independent House,South,Suburb,Open,Resale,6,20,30.6,11773103.0
Chennai,2043,5,2,Semi-Furnished,Villa,South,Central,Open,New,33,22,16.45,20862717.0
Bangalore,2733,5,4,Unfurnished,Independent House,North,Central,None,New,24,15,19.51,36173294.0
Chennai,1663,1,2,Unfurnished,Villa,North,Central,Covered,New,15,29,16.25,17843743.0
Kolkata,3334,3,1,Semi-Furnished,Independent House,East,Outskirts,Open,Resale,34,11,27.1,26955288.0
Hyderabad,4085,3,3,Unfurnished,Independent House,West,Central,Open,Resale,25,13,12.58,36999408.0
Chennai,615,4,1,Unfurnished,Independent House,South,Suburb,Open,New,28,4,2.78,6917695.0
Kolkata,4057,5,3,Unfurnished,Villa,South,Central,Open,New,1,15,1.28,38068306.0
Chennai,2740,5,3,Unfurnished,Independent House,West,Suburb,Covered,New,27,28,6.06,28325518.0
Kolkata,1907,3,4,Fully Furnished,Independent House,North,Outskirts,Open,Resale,28,24,28.31,15962918.0
Mumbai,2490,3,3,Unfurnished,Apartment,North,Suburb,None,New,28,20,23.7,38554529.0
Kolkata,3778,3,2,Semi-Furnished,Villa,North,Outskirts,None,New,21,6,32.35,31541472.0
Pune,1516,1,3,Semi-Furnished,Apartment,West,Suburb,None,New,14,15,1.56,16637716.0
Hyderabad,3140,1,3,Semi-Furnished,Apartment,West,Central,Covered,New,17,21,21.77,28385753.0
Chennai,2561,1,1,Unfurnished,Apartment,East,Central,Open,New,0,5,25.44,25906859.0
Kolkata,3656,5,4,Fully Furnished,Independent House,East,Central,Open,New,20,23,6.42,32845985.0
Kolkata,3368,3,4,Semi-Furnished,Independent House,East,Central,Covered,New,1,29,31.86,30424010.0
Chennai,1548,1,3,Semi-Furnished,Villa,South,Central,Covered,Resale,13,7,25.45,16718149.0
Hyderabad,3576,4,1,Fully Furnished,Villa,North,Outskirts,Covered,New,20,9,16.33,32793002.0
Hyderabad,3745,3,2,Semi-Furnished,Villa,North,Central,Open,Resale,1,14,26.63,35338223.0
Kolkata,4361,3,2,Unfurnished,Villa,South,Outskirts,None,Resale,6,28,9.08,38422001.0
Bangalore,1540,3,3,Semi-Furnished,Villa,East,Outskirts,Open,Resale,9,15,6.91,21041034.0
Mumbai,3333,1,3,Unfurnished,Apartment,North,Outskirts,Covered,Resale,8,3,34.83,52968804.0
Hyderabad,2507,2,1,Fully Furnished,Villa,West,Suburb,Open,Resale,32,24,9.94,22329814.0
Hyderabad,2848,4,4,Fully Furnished,Villa,West,Outskirts,Covered,New,17,18,2.43,27419612.0
Delhi,1227,4,1,Semi-Furnished,Independent House,South,Outskirts,Open,New,4,15,33.85,17791574.0
Pune,1603,2,2,Unfurnished,Independent House,West,Outskirts,Covered,Resale,10,15,32.51,16621624.0
Hyderabad,3703,4,3,Fully Furnished,Apartment,South,Suburb,Open,New,25,14,33.23,33227173.0
Mumbai,1244,1,3,Semi-Furnished,Independent House,South,Suburb,Covered,New,8,26,23.17,21034757.0
Pune,3371,3,1,Semi-Furnished,Independent House,South,Central,Open,Resale,10,28,13.84,36796240.0
Pune,1668,2,4,Semi-Furnished,Independent House,East,Suburb,None,New,15,1,12.39,18067993.0
Chennai,2029,3,1,Fully Furnished,Apartment,South,Suburb,Open,New,6,6,33.8,21009827.0
Chennai,3930,4,4,Unfurnished,Apartment,East,Outskirts,Open,New,23,14,10.7,39085487.0
Chennai,1203,5,4,Unfurnished,Apartment,West,Outskirts,Open,New,15,3,34.35,12253052.0
Chennai,527,4,2,Unfurnished,Independent House,West,Outskirts,None,New,25,26,16.5,5182106.0
Delhi,1351,4,4,Semi-Furnished,Independent House,North,Suburb,None,Resale,17,17,13.86,20098680.0
Hyderabad,2664,2,2,Unfurnished,Apartment,South,Outskirts,Open,New,16,6,2.94,24309190.0
Chennai,419,3,3,Fully Furnished,Villa,South,Outskirts,Covered,Resale,0,9,24.96,5717464.0
Kolkata,4038,2,1,Semi-Furnished,Apartment,East,Suburb,Open,New,2,19,13.87,35361500.0
Bangalore,2181,1,2,Fully Furnished,Apartment,West,Outskirts,None,New,28,25,28.26,26275374.0
Chennai,4234,3,1,Fully Furnished,Apartment,West,Central,Open,Resale,30,18,26.06,42128646.0
Hyderabad,3531,1,2,Fully Furnished,Apartment,East,Outskirts,Covered,New,32,1,13.07,31075598.0
Chennai,956,1,3,Unfurnished,Apartment,West,Outskirts,None,Resale,1,3,14.38,9466352.0
Delhi,2644,2,2,Semi-Furnished,Apartment,East,Central,None,Resale,8,22,11.01,37879115.0
Mumbai,3383,4,2,Semi-Furnished,Apartment,North,Suburb,Covered,Resale,6,20,31.7,54026427.0
Mumbai,3963,5,1,Fully Furnished,Independent House,North,Outskirts,None,Resale,4,20,15.43,64512248.0
Hyderabad,3125,4,2,Semi-Furnished,Apartment,South,Central,None,Resale,5,24,26.41,28411735.0
Kolkata,3731,4,1,Semi-Furnished,Apartment,West,Suburb,Open,Resale,31,11,1.34,30976166.0
Mumbai,596,3,3,Unfurnished,Apartment,East,Central,Open,New,20,5,2.37,10007459.0
Mumbai,3228,2,3,Semi-Furnished,Villa,East,Suburb,Open,Resale,29,25,33.59,51366059.0
Bangalore,4388,3,2,Fully Furnished,Independent House,East,Suburb,Open,New,7,18,26.8,57467688.0
Hyderabad,2869,5,4,Semi-Furnished,Villa,East,Central,Open,Resale,22,10,24.41,26920857.0
Kolkata,2030,2,3,Fully Furnished,Apartment,North,Outskirts,Open,Resale,19,0,3.28,17759899.0
Hyderabad,3678,4,4,Semi-Furnished,Apartment,West,Central,None,New,9,1,4.77,35187718.0
Mumbai,2438,1,4,Fully Furnished,Independent House,East,Suburb,None,Resale,25,19,26.03,38905559.0
Mumbai,2879,4,1,Fully Furnished,Apartment,North,Outskirts,Covered,Resale,11,3,8.59,46736182.0
Mumbai,2875,4,4,Semi-Furnished,Independent House,South,Outskirts,Open,New,11,5,5.58,47892265.0
Pune,3709,2,4,Fully Furnished,Villa,East,Suburb,Open,Resale,20,24,20.77,39685902.0
Delhi,3578,4,4,Unfurnished,Villa,South,Outskirts,None,Resale,15,17,20.66,50234554.0
Chennai,1787,5,1,Unfurnished,Villa,East,Central,Covered,Resale,24,16,30.47,18273754.0
Delhi,1041,4,2,Fully Furnished,Villa,East,Outskirts,None,Resale,32,14,2.27,14572027.0
Hyderabad,974,1,4,Fully Furnished,Apartment,West,Outskirts,Open,Resale,22,5,29.0,7477673.0
Bangalore,3544,2,3,Fully Furnished,Independent House,East,Outskirts,None,Resale,15,5,33.95,45181929.0
Chennai,2121,5,1,Semi-Furnished,Independent House,South,Outskirts,Open,Resale,25,2,7.45,21400314.0
Bangalore,1418,2,4,Unfurnished,Villa,East,Central,None,Resale,13,2,5.17,19639251.0
Kolkata,4458,1,4,Semi-Furnished,Independent House,South,Central,Open,New,2,22,29.03,38912220.0
Pune,3820,3,1,Semi-Furnished,Villa,East,Central,Covered,Resale,23,1,7.95,40957612.0
Hyderabad,799,5,1,Unfurnished,Independent House,South,Outskirts,Open,New,14,26,33.91,7171127.0
Pune,1856,1,1,Semi-Furnished,Independent House,West,Suburb,Covered,Resale,1,12,3.65,20975452.0
Hyderabad,1995,3,4,Semi-Furnished,Villa,West,Central,Covered,Resale,33,15,24.09,17867230.0
Bangalore,516,1,1,Unfurnished,Apartment,East,Outskirts,Covered,Resale,14,22,34.24,5334671.0
Bangalore,782,3,4,Fully Furnished,Independent House,North,Suburb,Open,New,29,23,17.6,11018586.0
Bangalore,2529,3,3,Semi-Furnished,Apartment,South,Central,None,New,26,19,14.61,33616118.0
Hyderabad,2250,2,4,Semi-Furnished,Villa,South,Outskirts,Covered,New,1,21,15.81,21745908.0
Mumbai,1231,4,2,Semi-Furnished,Apartment,South,Outskirts,None,New,30,15,27.99,18854994.0
Bangalore,3100,4,4,Unfurnished,Apartment,South,Outskirts,None,New,29,18,2.44,40026639.0
Pune,3181,1,4,Fully Furnished,Apartment,East,Central,Covered,New,13,23,4.75,34760602.0
Kolkata,3881,3,4,Fully Furnished,Apartment,West,Outskirts,Open,Resale,10,6,15.03,33723755.0
Chennai,2517,4,2,Semi-Furnished,Independent House,North,Suburb,Covered,Resale,5,24,26.43,25987767.0
Hyderabad,2406,1,1,Semi-Furnished,Villa,South,Outskirts,None,Resale,21,3,28.91,20285616.0
Pune,2971,1,4,Semi-Furnished,Independent House,North,Outskirts,None,New,33,26,7.61,30688446.0
Delhi,696,5,3,Unfurnished,Apartment,West,Central,Covered,Resale,13,24,32.0,10533613.0
Kolkata,1118,2,3,Semi-Furnished,Apartment,East,Central,Covered,Resale,28,20,2.03,9679109.0
Delhi,3536,2,1,Semi-Furnished,Apartment,West,Central,None,Resale,24,17,13.72,49110290.0
Chennai,3479,3,3,Unfurnished,Villa,West,Central,Covered,Resale,5,22,34.79,35937613.0
Mumbai,410,4,2,Fully Furnished,Villa,North,Outskirts,None,New,18,26,4.99,7296756.0
Bangalore,810,3,1,Fully Furnished,Independent House,West,Central,Open,Resale,24,1,7.44,11148582.0
Hyderabad,3339,4,1,Semi-Furnished,Villa,South,Suburb,Covered,Resale,0,7,34.33,31151141.0
Pune,3054,4,2,Fully Furnished,Apartment,South,Central,None,New,32,21,5.3,32236865.0
Bangalore,3586,4,2,Unfurnished,Apartment,North,Central,None,New,15,23,18.69,47076141.0
Pune,3850,4,3,Unfurnished,Apartment,East,Suburb,Open,New,33,8,16.75,40223953.0
Hyderabad,998,4,3,Unfurnished,Apartment,West,Central,Covered,New,11,29,28.78,10151240.0
Delhi,1223,5,2,Unfurnished,Apartment,East,Outskirts,Open,New,19,11,8.93,17817517.0
Bangalore,2797,5,3,Unfurnished,Villa,West,Suburb,Open,Resale,5,9,14.44,38461311.0
Chennai,712,4,4,Fully Furnished,Independent House,South,Suburb,None,Resale,10,24,28.82,7724066.0
Mumbai,3374,1,2,Fully Furnished,Villa,North,Central,None,Resale,0,5,17.4,55737499.0
Chennai,4138,1,3,Fully Furnished,Apartment,North,Outskirts,Covered,New,21,8,31.93,40124056.0
Mumbai,2892,2,3,Fully Furnished,Villa,North,Outskirts,Covered,New,3,27,13.65,47626077.0
Kolkata,2345,4,1,Semi-Furnished,Independent House,West,Suburb,None,New,14,25,13.25,20774551.0
Pune,630,1,1,Semi-Furnished,Independent House,East,Suburb,None,Resale,14,4,9.99,6590625.0
Bangalore,4140,2,4,Unfurnished,Villa,North,Outskirts,Open,Resale,30,6,22.63,52446188.0
Bangalore,3072,1,2,Semi-Furnished,Apartment,East,Central,Covered,New,26,0,26.82,39942413.0
Kolkata,3854,2,4,Semi-Furnished,Apartment,North,Outskirts,Open,New,34,21,2.28,32377547.0
Mumbai,3983,3,2,Fully Furnished,Villa,West,Suburb,Covered,Resale,19,7,19.81,64015050.0
Delhi,443,1,2,Semi-Furnished,Independent House,North,Outskirts,None,Resale,0,5,18.99,6594760.0
Hyderabad,3324,4,3,Unfurnished,Independent House,East,Central,Open,New,8,0,33.2,30837641.0
Chennai,4093,4,1,Semi-Furnished,Villa,East,Outskirts,Covered,Resale,33,0,14.16,40080018.0
Kolkata,2670,5,1,Fully Furnished,Independent House,South,Outskirts,Covered,New,29,10,1.04,23718113.0
Pune,3857,3,2,Semi-Furnished,Villa,South,Central,Open,New,19,8,22.23,40961535.0
Kolkata,3349,3,3,Semi-Furnished,Villa,East,Central,Open,Resale,2,15,18.69,30418898.0
Chennai,2718,1,2,Semi-Furnished,Villa,West,Central,Open,Resale,14,1,13.3,28521404.0
Chennai,3785,2,1,Semi-Furnished,Independent House,West,Outskirts,None,Resale,18,27,17.78,36916026.0
Pune,2694,5,4,Fully Furnished,Villa,West,Suburb,None,New,15,20,2.16,30556351.0
Pune,3395,3,1,Fully Furnished,Apartment,East,Central,Covered,Resale,12,6,21.73,36231021.0
Bangalore,4038,3,4,Unfurnished,Independent House,West,Outskirts,None,Resale,22,3,16.37,51934711.0
Chennai,3767,4,1,Unfurnished,Independent House,East,Suburb,Open,New,20,10,14.66,37486045.0
Hyderabad,3684,4,1,Fully Furnished,Apartment,South,Suburb,None,Resale,0,20,17.65,33764614.0
Hyderabad,2742,2,2,Unfurnished,Villa,South,Suburb,Covered,Resale,16,26,18.88,24583226.0
Mumbai,570,1,4,Fully Furnished,Apartment,North,Outskirts,Covered,New,18,18,5.24,9077864.0
Kolkata,2039,2,4,Unfurnished,Independent House,East,Outskirts,Covered,New,7,7,32.97,17460940.0
Pune,1016,1,2,Unfurnished,Apartment,North,Outskirts,None,Resale,3,23,20.01,10429617.0
Bangalore,639,5,2,Semi-Furnished,Apartment,North,Central,Covered,Resale,25,25,30.51,8440047.0
Hyderabad,2256,3,3,Fully Furnished,Independent House,East,Outskirts,None,Resale,31,14,31.98,19169484.0
Delhi,1322,2,4,Unfurnished,Villa,North,Outskirts,Covered,Resale,12,15,17.2,19196423.0
Bangalore,2304,1,1,Unfurnished,Villa,West,Central,Open,New,19,6,31.88,30015484.0
Bangalore,3549,5,2,Semi-Furnished,Villa,North,Suburb,None,New,4,28,1.08,48541620.0
Hyderabad,1212,2,4,Unfurnished,Apartment,North,Outskirts,Covered,Resale,1,14,10.31,11898240.0
Delhi,2130,3,2,Unfurnished,Apartment,South,Suburb,None,Resale,18,7,6.8,29843903.0
Mumbai,1231,5,4,Unfurnished,Independent House,West,Central,Covered,New,16,12,26.92,21598310.0
Hyderabad,3824,4,1,Unfurnished,Apartment,West,Outskirts,Open,New,34,21,8.44,32983401.0
Delhi,2607,3,2,Unfurnished,Independent House,North,Outskirts,None,Resale,23,9,21.36,35353050.0
Bangalore,3832,4,3,Semi-Furnished,Apartment,North,Suburb,Covered,New,25,11,14.02,50078928.0
Delhi,3768,5,1,Unfurnished,Apartment,North,Outskirts,Covered,Resale,7,26,16.94,53333906.0
Bangalore,2627,5,2,Unfurnished,Apartment,West,Central,Open,New,3,16,29.2,36089878.0
Kolkata,2660,4,3,Unfurnished,Independent House,South,Central,Open,Resale,25,16,11.42,23099156.0
Hyderabad,3317,1,2,Fully Furnished,Independent House,East,Central,None,New,8,28,19.87,31069886.0
Pune,3920,5,1,Fully Furnished,Apartment,South,Central,Covered,Resale,23,4,19.18,41509368.0
Hyderabad,3108,2,1,Unfurnished,Independent House,North,Outskirts,Open,Resale,21,0,18.14,26601373.0
Kolkata,2220,2,1,Semi-Furnished,Villa,East,Outskirts,Covered,Resale,3,14,24.61,19758185.0
Chennai,1048,5,3,Unfurnished,Apartment,East,Suburb,Covered,Resale,25,6,31.91,10547931.0
Chennai,588,4,4,Fully Furnished,Apartment,North,Outskirts,Covered,New,12,22,27.73,6749275.0
Chennai,1622,4,1,Fully Furnished,Villa,South,Outskirts,Open,New,12,20,26.0,17508423.0
Hyderabad,878,3,1,Semi-Furnished,Independent House,South,Suburb,Open,Resale,2,8,11.52,8701566.0
Mumbai,3462,4,4,Unfurnished,Apartment,East,Outskirts,None,Resale,8,5,29.97,55420620.0
Hyderabad,2425,1,3,Fully Furnished,Apartment,West,Outskirts,None,Resale,34,26,6.69,20147489.0
Kolkata,2288,1,3,Fully Furnished,Villa,West,Suburb,None,Resale,13,3,27.59,19869252.0
Kolkata,1950,2,4,Semi-Furnished,Apartment,West,Outskirts,Covered,New,21,13,16.12,16407885.0
Pune,3316,5,1,Fully Furnished,Apartment,North,Suburb,None,Resale,19,2,23.63,35056742.0
Delhi,3655,2,3,Fully Furnished,Apartment,East,Suburb,Covered,New,11,10,17.9,51778662.0
Hyderabad,3206,5,4,Semi-Furnished,Independent House,South,Central,Covered,New,20,28,8.4,30849183.0
Hyderabad,433,2,3,Semi-Furnished,Apartment,South,Suburb,None,New,7,5,17.13,3900684.0
Bangalore,695,5,2,Semi-Furnished,Independent House,West,Suburb,Covered,Resale,33,0,20.76,8335003.0
Kolkata,2900,5,2,Fully Furnished,Apartment,South,Suburb,None,Resale,24,0,30.85,24797442.0
Bangalore,4179,2,4,Fully Furnished,Apartment,South,Outskirts,None,Resale,7,9,1.36,55279822.0
Bangalore,3976,3,1,Unfurnished,Apartment,East,Central,Covered,New,24,5,17.21,52223104.0
Hyderabad,1829,1,2,Unfurnished,Independent House,West,Outskirts,Open,New,22,9,32.56,14857160.0
Mumbai,2589,4,1,Unfurnished,Villa,North,Outskirts,Covered,New,8,24,16.94,42066520.0
Delhi,2387,1,3,Semi-Furnished,Apartment,South,Central,None,New,30,23,16.15,33574416.0
Delhi,3282,4,4,Fully Furnished,Apartment,North,Suburb,Open,New,21,0,12.34,46720697.0
Kolkata,2109,5,2,Fully Furnished,Apartment,North,Central,None,New,0,7,30.58,19816224.0
Pune,3177,2,4,Unfurnished,Villa,East,Outskirts,Open,New,34,25,11.41,33592858.0
Kolkata,4097,2,4,Semi-Furnished,Apartment,East,Central,Open,Resale,1,28,10.05,36646983.0
Mumbai,1947,4,4,Fully Furnished,Apartment,East,Central,Open,Resale,25,20,28.75,31550513.0
Mumbai,862,2,4,Unfurnished,Independent House,West,Outskirts,None,New,34,23,24.61,13181675.0
Delhi,3715,2,4,Semi-Furnished,Independent House,South,Suburb,None,New,13,28,14.98,52438664.0
Chennai,3704,2,3,Fully Furnished,Villa,North,Suburb,Covered,Resale,11,6,28.75,37843196.0
Bangalore,913,1,2,Unfurnished,Independent House,North,Outskirts,None,New,19,25,25.71,10364331.0
Bangalore,4496,2,4,Semi-Furnished,Independent House,West,Central,None,Resale,28,25,8.01,59027959.0
Delhi,3966,3,2,Unfurnished,Apartment,West,Outskirts,None,New,31,1,22.81,54564944.0
Kolkata,4203,4,2,Unfurnished,Apartment,East,Central,None,New,2,14,24.8,36965010.0
